time,item,placed,arrived,qty,lead_time,factor
2025-10-12,16P-C,1,7,10,6.444949,0.644495
2025-10-14,14-B,1,9,10,7.955272,0.795527
2025-10-14,17-B,1,9,10,7.723948,0.772395
2025-10-15,15-A,1,10,10,8.960443,0.896044
2025-10-15,16P-A,1,10,10,8.576965,0.857696
2025-10-16,15-B,1,11,20,9.958473,0.995847
2025-10-16,16P-D,1,11,10,10.22787,1.022787
2025-10-17,14-C,1,12,10,10.966059,1.096606
2025-10-18,16P-B,1,13,10,12.207533,1.220753
2025-10-18,17-C,1,13,10,12.007267,1.200727
2025-10-19,14-A,1,14,10,13.089624,1.308962
2025-10-19,14-A,8,14,10,6.019431,0.601943
2025-10-19,14-B,8,14,20,5.968408,0.596841
2025-10-19,16P-A,8,14,10,6.133696,0.61337
2025-10-20,15-D,1,15,10,13.704738,1.370474
2025-10-20,17-A,8,15,10,6.711105,0.671111
2025-10-22,15-C,1,17,10,15.825025,1.582503
2025-10-23,15-B,8,18,15,9.873948,0.987395
2025-10-23,16P-B,8,18,20,10.207729,1.020773
2025-10-24,14-C,15,19,10,4.021192,0.402119
2025-10-24,14-D,8,19,10,11.141288,1.114129
2025-10-26,16P-B,15,21,10,5.804536,0.580454
2025-10-27,15-A,8,22,15,14.376758,1.437676
2025-10-27,15-C,8,22,10,13.942586,1.394259
2025-10-30,14-A,15,25,10,9.929385,0.992938
2025-10-30,16P-D,8,25,10,17.300879,1.730088
2025-10-30,17-A,15,25,10,10.314385,1.031439
2025-11-01,14-B,15,27,10,11.643923,1.164392
2025-11-01,14-D,15,27,10,12.002249,1.200225
2025-11-01,16P-A,15,27,10,11.914661,1.191466
2025-11-02,15-B,15,28,10,12.730796,1.27308
2025-11-03,15-D,15,29,10,14.050355,1.405035
2025-11-03,16P-C,22,29,15,7.179106,0.717911
2025-11-04,15-B,22,30,15,7.661707,0.766171
2025-11-04,16P-B,22,30,10,8.397279,0.839728
2025-11-04,17-B,22,30,10,7.736851,0.773685
2025-11-05,14-C,22,31,10,9.142793,0.914279
2025-11-05,15-A,22,31,10,9.318286,0.931829
2025-11-06,17-D,15,32,10,16.848919,1.684892
2025-11-07,15-D,22,33,10,10.7646,1.07646
2025-11-08,14-B,22,34,10,12.017508,1.201751
2025-11-08,15-C,29,34,10,4.709974,0.470997
2025-11-09,16P-D,22,35,10,13.464975,1.346497
2025-11-11,14-D,22,37,10,15.450927,1.545093
2025-11-11,15-A,29,37,10,8.098007,0.809801
2025-11-11,15-B,29,37,15,8.143687,0.814369
2025-11-11,17-A,29,37,10,8.482021,0.848202
2025-11-13,15-C,22,39,15,16.979945,1.697994
2025-11-13,15-D,8,39,10,31.125436,3.112544
2025-11-13,17-D,29,39,10,10.325456,1.032546
2025-11-14,14-B,29,40,10,11.166736,1.116674
2025-11-14,14-C,29,40,10,10.899157,1.089916
2025-11-14,16P-B,29,40,10,10.899225,1.089923
2025-11-15,17-C,29,41,10,12.150795,1.215079
2025-11-16,14-A,36,42,10,5.752564,0.575256
2025-11-16,16P-C,29,42,10,13.243701,1.32437
2025-11-16,16P-D,36,42,10,6.313679,0.631368
2025-11-17,15-A,36,43,10,7.421696,0.74217
2025-11-17,16P-A,36,43,10,6.540932,0.654093
2025-11-18,16P-A,29,44,10,15.090147,1.509015
2025-11-18,16P-B,36,44,15,7.58981,0.758981
2025-11-18,17-B,29,44,10,14.56588,1.456588
2025-11-19,17-B,36,45,15,9.364338,0.936434
2025-11-20,15-C,36,46,10,9.664785,0.966478
2025-11-20,17-C,22,46,10,24.38164,2.438164
2025-11-21,15-B,36,47,20,11.453285,1.145329
2025-11-21,15-D,36,47,10,10.981273,1.098127
2025-11-22,14-C,36,48,10,11.753817,1.175382
2025-11-22,14-D,36,48,10,12.333355,1.233335
2025-11-25,15-B,43,51,10,8.394856,0.839486
2025-11-25,16P-C,43,51,15,8.496077,0.849608
2025-11-27,16P-D,43,53,10,10.495924,1.049592
2025-11-29,15-C,50,55,10,5.306886,0.530689
2025-11-29,16P-B,50,55,10,5.039445,0.503944
2025-12-01,17-C,50,57,10,7.265455,0.726546
2025-12-02,14-A,50,58,10,7.572757,0.757276
2025-12-02,14-D,50,58,10,7.522728,0.752273
2025-12-02,15-B,50,58,10,8.134641,0.813464
2025-12-03,14-B,36,59,10,23.182954,2.318295
2025-12-03,17-B,50,59,10,9.446722,0.944672
2025-12-05,15-C,43,61,10,18.195681,1.819568
2025-12-06,16P-D,50,62,10,11.780821,1.178082
2025-12-06,17-D,50,62,10,11.700169,1.170017
2025-12-07,14-B,50,63,10,12.534128,1.253413
2025-12-08,16P-A,57,64,15,6.514322,0.651432
2025-12-08,17-C,57,64,10,6.981032,0.698103
2025-12-09,14-C,50,65,10,15.429536,1.542954
2025-12-09,14-C,57,65,10,8.426174,0.842617
2025-12-10,16P-C,50,66,15,15.818026,1.581803
2025-12-10,16P-C,57,66,10,8.533312,0.853331
2025-12-12,15-C,57,68,10,10.503257,1.050326
2025-12-12,16P-A,50,68,10,17.57501,1.757501
2025-12-13,15-B,57,69,15,11.536438,1.153644
2025-12-13,15-D,57,69,10,12.368614,1.236861
2025-12-13,16P-B,57,69,10,12.48573,1.248573
2025-12-13,16P-D,57,69,10,12.165898,1.21659
2025-12-14,14-B,57,70,10,13.081626,1.308163
2025-12-14,15-A,57,70,10,13.148726,1.314873
2025-12-15,14-B,64,71,10,6.626515,0.662651
2025-12-15,17-B,64,71,10,6.804174,0.680417
2025-12-16,15-A,64,72,10,8.377696,0.83777
2025-12-17,14-A,64,73,10,9.367265,0.936727
2025-12-17,16P-B,64,73,10,9.110535,0.911053
2025-12-18,14-D,64,74,10,10.397916,1.039792
2025-12-19,15-C,64,75,15,10.872296,1.08723
2025-12-19,17-A,57,75,10,18.322063,1.832206
2025-12-20,15-B,64,76,10,11.824325,1.182432
2025-12-22,17-D,64,78,10,14.012366,1.401237
2025-12-23,16P-B,71,79,15,7.796281,0.779628
2025-12-25,14-B,71,81,10,10.457859,1.045786
2025-12-25,15-D,71,81,10,9.542135,0.954213
2025-12-25,17-C,71,81,10,10.108784,1.010878
2025-12-26,16P-A,71,82,10,10.996212,1.099621
2025-12-27,16P-C,64,83,10,18.816231,1.881623
2025-12-28,14-B,78,84,10,6.417662,0.641766
2025-12-28,15-B,71,84,15,12.839809,1.283981
2025-12-28,15-C,78,84,10,5.557167,0.555717
2025-12-29,17-B,71,85,10,14.222537,1.422254
2025-12-30,15-A,78,86,10,8.436081,0.843608
2025-12-30,15-D,78,86,10,8.133307,0.813331
2025-12-30,16P-A,78,86,10,7.980862,0.798086
2025-12-31,15-C,71,87,10,15.674834,1.567483
2026-01-01,15-B,78,88,10,9.801317,0.980132
2026-01-01,16P-C,78,88,15,9.836641,0.983664
2026-01-02,16P-B,78,89,10,10.695322,1.069532
2026-01-02,16P-D,78,89,10,11.297389,1.129739
2026-01-03,14-A,78,90,15,11.767075,1.176708
2026-01-03,16P-C,85,90,10,5.338858,0.533886
2026-01-06,15-B,85,93,10,8.340727,0.834073
2026-01-06,17-B,85,93,10,8.178505,0.817851
2026-01-06,17-D,78,93,10,15.247348,1.524735
2026-01-07,14-C,78,94,15,16.17461,1.617461
2026-01-08,14-B,85,95,10,10.120244,1.012024
2026-01-08,16P-A,85,95,10,10.46959,1.046959
2026-01-08,16P-B,85,95,10,9.686027,0.968603
2026-01-09,17-A,85,96,10,11.414226,1.141423
2026-01-10,14-C,85,97,10,11.942089,1.194209
2026-01-10,15-A,85,97,10,12.124595,1.21246
2026-01-12,14-A,92,99,10,7.022816,0.702282
2026-01-12,15-C,85,99,10,14.085863,1.408586
2026-01-12,16P-C,92,99,10,6.93931,0.693931
2026-01-13,14-A,85,100,10,14.825249,1.482525
2026-01-13,14-D,85,100,10,14.868348,1.486835
2026-01-13,16P-A,92,100,10,8.39855,0.839855
2026-01-14,14-D,92,101,10,9.28095,0.928095
2026-01-14,15-B,92,101,20,9.285937,0.928594
2026-01-15,16P-B,92,102,10,10.352409,1.035241
2026-01-17,16P-D,92,104,10,12.172251,1.217225
2026-01-18,15-A,92,105,10,12.567456,1.256746
2026-01-18,15-C,92,105,10,12.875779,1.287578
2026-01-18,16P-D,99,105,10,5.973115,0.597311
2026-01-19,15-D,92,106,15,13.861801,1.38618
2026-01-19,17-B,92,106,10,14.466811,1.446681
2026-01-19,17-C,92,106,10,13.769996,1.377
2026-01-21,15-B,99,108,15,8.936961,0.893696
2026-01-21,16P-C,99,108,10,8.664651,0.866465
2026-01-22,16P-B,99,109,10,9.83363,0.983363
2026-01-24,14-B,99,111,10,11.611861,1.161186
2026-01-24,15-D,99,111,10,12.244947,1.224495
2026-01-25,14-C,99,112,10,12.797228,1.279723
2026-01-25,15-C,99,112,15,13.49415,1.349415
2026-01-25,17-B,106,112,10,6.479881,0.647988
2026-01-26,14-A,106,113,10,7.450872,0.745087
2026-01-26,17-A,99,113,10,13.963883,1.396388
2026-01-27,14-C,106,114,10,8.446303,0.84463
2026-01-27,15-A,106,114,10,8.319694,0.831969
2026-01-27,17-D,99,114,10,14.87448,1.487448
